time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1973-01-12T11:56:56.000Z,37.93,-90.52,20,3.2,lg,,,,,us,usp0000048,2014-11-06T23:21:07.594Z,"Missouri",earthquake,,,,,reviewed,j,slm
1973-04-18T12:21:53.300Z,38.467,-90.2,15,2.5,lg,,,,,us,usp00001er,2014-11-06T23:21:11.579Z,"Illinois",earthquake,,,,,reviewed,j,slm
1973-10-03T03:50:20.400Z,35.91,-90,10,3.4,lg,,,,,us,usp00003nk,2014-11-06T23:21:20.614Z,"Arkansas",earthquake,,,,,reviewed,j,slm
1973-10-09T20:15:26.800Z,36.51,-89.61,1,3.8,lg,,,,,us,usp00003s8,2014-11-06T23:21:20.747Z,"Missouri",earthquake,,,,,reviewed,j,slm
1973-12-20T10:45:00.100Z,36.157,-89.58,10,3.4,lg,,,,,us,usp00004kc,2014-11-06T23:21:21.906Z,"Tennessee",earthquake,,,,,reviewed,j,slm
1974-01-08T01:12:37.400Z,36.2,-89.39,1,4.1,mb,,,,,us,usp00004v5,2014-11-06T23:21:22.320Z,"Tennessee",earthquake,,,,,reviewed,j,us
1974-03-10T04:34:19.700Z,36.21,-89.53,5,2.5,lg,,,,,us,usp00005jt,2014-11-06T23:21:23.286Z,"Tennessee",earthquake,,,,,reviewed,j,slm
1974-03-27T16:10:56.300Z,38.55,-90.13,10,2.4,lg,,,,,us,usp00005s5,2017-04-26T17:27:34.910Z,"Illinois",earthquake,,,,,reviewed,j,slm
1974-04-05T19:41:11.200Z,38.59,-90.91,1,2.6,lg,,,,,us,usp00005vr,2014-11-06T23:21:23.608Z,"Missouri",earthquake,,,,,reviewed,j,slm
1974-05-13T06:52:18.800Z,36.71,-89.39,1,4.3,mb,,,,,us,usp00006b7,2017-04-13T21:48:10.676Z,"Missouri",earthquake,,,,,reviewed,j,us
1974-06-05T08:06:11.300Z,38.62,-89.94,11,4,mb,,,,,us,usp00006n5,2014-11-06T23:21:24.545Z,"Illinois",earthquake,,,,,reviewed,j,us
1974-07-07T17:13:17.700Z,36.8,-89.01,5,2.5,mlg,,,,,nm,nm600003,2016-04-14T12:28:50.880Z,"7km S of Bardwell, Kentucky",earthquake,,,,,reviewed,nm,nm
1974-07-09T09:51:14.600Z,36.8,-89.43,5,2,mlg,,,,,nm,nm600006,2016-04-14T12:29:09.120Z,"4km WNW of East Prairie, Missouri",earthquake,,,,,reviewed,nm,nm
1974-07-18T00:00:19.100Z,36.29,-89.53,5,2.2,mlg,,,,,nm,nm600009,2016-04-14T12:29:27.380Z,"4km NW of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
